日付,始値,高値,安値,終値,売買高
2026/03/13 09:00:00,156,156.1,155.6,156,60779200
2026/03/13 09:01:00,156,156.7,155.9,156.6,6742000
2026/03/13 09:02:00,156.7,156.7,156.2,156.4,1600400
2026/03/13 09:03:00,156.5,156.5,156.1,156.2,3384300
2026/03/13 09:04:00,156.2,156.4,155.6,156.2,3791200
2026/03/13 09:05:00,156.1,156.4,156.1,156.2,1307700
2026/03/13 09:06:00,156.1,156.4,156.1,156.3,1026400
2026/03/13 09:07:00,156.3,156.3,155.9,156.2,1904500
2026/03/13 09:08:00,156.2,156.4,156.1,156.3,527000
2026/03/13 09:09:00,156.4,156.4,156,156.1,1941100
2026/03/13 09:10:00,156.1,156.5,156.1,156.4,2348900
2026/03/13 09:11:00,156.4,156.5,156.3,156.4,504600
2026/03/13 09:12:00,156.4,156.9,156.4,156.8,3296300
2026/03/13 09:13:00,156.7,156.9,156.6,156.7,1896900
2026/03/13 09:14:00,156.7,156.8,156.6,156.7,1093300
2026/03/13 09:15:00,156.8,157.3,156.7,157.3,9221700
2026/03/13 09:16:00,157.2,157.4,157.2,157.3,3047100
2026/03/13 09:17:00,157.4,157.4,157.1,157.2,2302100
2026/03/13 09:18:00,157.3,157.3,157.1,157.3,1102000
2026/03/13 09:19:00,157.3,157.3,156.9,157.1,4571500
2026/03/13 09:20:00,157.1,157.3,157,157.3,758500
2026/03/13 09:21:00,157.3,157.4,157.2,157.3,2311900
2026/03/13 09:22:00,157.3,157.5,157.3,157.4,2120800
2026/03/13 09:23:00,157.4,157.6,157.4,157.5,2624500
2026/03/13 09:24:00,157.4,157.6,157.4,157.4,1293000
2026/03/13 09:25:00,157.4,157.6,157.4,157.6,527700
2026/03/13 09:26:00,157.5,157.6,157.5,157.5,170100
2026/03/13 09:27:00,157.6,157.7,157.5,157.5,2485300
2026/03/13 09:28:00,157.6,157.6,157.4,157.5,1395000
2026/03/13 09:29:00,157.5,157.5,157.4,157.5,554500
2026/03/13 09:30:00,157.5,157.6,157.5,157.5,116400
2026/03/13 09:31:00,157.5,157.6,157.5,157.5,162500
2026/03/13 09:32:00,157.5,157.5,157.2,157.3,3683700
2026/03/13 09:33:00,157.2,157.5,157.2,157.3,685600
2026/03/13 09:34:00,157.3,157.4,157.2,157.3,1894700
2026/03/13 09:35:00,157.3,157.5,157.2,157.2,2226100
2026/03/13 09:36:00,157.3,157.4,157.3,157.3,580600
2026/03/13 09:37:00,157.3,157.4,157.2,157.3,804900
2026/03/13 09:38:00,157.3,157.4,157.2,157.2,310300
2026/03/13 09:39:00,157.2,157.3,157.1,157.1,1179500
2026/03/13 09:40:00,157.2,157.4,157.1,157.3,1567600
2026/03/13 09:41:00,157.4,157.4,157.3,157.4,70500
2026/03/13 09:42:00,157.4,157.5,157.3,157.4,916900
2026/03/13 09:43:00,157.5,157.5,157.4,157.4,2687400
2026/03/13 09:44:00,157.5,157.5,157.4,157.5,853400
2026/03/13 09:45:00,157.5,157.6,157.4,157.5,707800
2026/03/13 09:46:00,157.5,157.6,157.4,157.5,466000
2026/03/13 09:47:00,157.5,157.6,157.5,157.5,158900
2026/03/13 09:48:00,157.5,157.6,157.4,157.5,1494400
2026/03/13 09:49:00,157.5,157.6,157.5,157.5,91000
2026/03/13 09:50:00,157.5,157.8,157.5,157.7,3622300
2026/03/13 09:51:00,157.7,157.8,157.6,157.6,521100
2026/03/13 09:52:00,157.6,157.7,157.6,157.6,78200
2026/03/13 09:53:00,157.7,157.8,157.6,157.7,1423000
2026/03/13 09:54:00,157.7,157.8,157.6,157.7,821500
2026/03/13 09:55:00,157.7,157.8,157.6,157.8,262800
2026/03/13 09:56:00,157.7,157.8,157.7,157.7,608200
2026/03/13 09:57:00,157.7,157.7,157.6,157.7,376900
2026/03/13 09:58:00,157.7,157.7,157.6,157.7,68200
2026/03/13 09:59:00,157.6,157.7,157.5,157.6,2127200
2026/03/13 10:00:00,157.5,157.7,157.5,157.6,500100
2026/03/13 10:01:00,157.6,157.7,157.6,157.7,60900
2026/03/13 10:02:00,157.6,157.7,157.6,157.6,74000
2026/03/13 10:03:00,157.7,157.7,157.6,157.6,328800
2026/03/13 10:04:00,157.7,157.7,157.6,157.7,157100
2026/03/13 10:05:00,157.7,157.7,157.6,157.6,160600
2026/03/13 10:06:00,157.6,157.7,157.6,157.6,249600
2026/03/13 10:07:00,157.6,157.7,157.6,157.6,2435700
